name,diameter_min,diameter_max,hazardous,neo_reference_id,nasa_jpl_url
433 Eros (A898 PA),22.0067027115,49.2084832235,0,2000433,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000433
719 Albert (A911 TB),2.0256060086,4.529392731,0,2000719,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000719
887 Alinda (A918 AA),4.5978518828,10.2811093604,0,2000887,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000887
1036 Ganymed (A924 UB),38.7752830381,86.70416872,0,2001036,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001036
1221 Amor (1932 EA1),0.8923905787,1.9954459964,0,2001221,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001221
1566 Icarus (1949 MA),1.3018321019,2.9109850751,1,2001566,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001566
1580 Betulia (1950 KA),3.0942469862,6.9189466003,0,2001580,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001580
1620 Geographos (1951 RA),2.3472263753,5.2485577338,1,2001620,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001620
1627 Ivar (1929 SH),7.3207398935,16.3696720474,0,2001627,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001627
1685 Toro (1948 OA),3.7030107822,8.2801838305,0,2001685,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001685
1862 Apollo (1932 HA),1.6164228334,3.6144313359,1,2001862,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001862
1863 Antinous (1948 EA),2.1505769,4.8088361393,0,2001863,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001863
1864 Daedalus (1971 FA),2.8612445378,6.3979372868,0,2001864,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001864
1865 Cerberus (1971 UA),1.1656145947,2.6063934693,0,2001865,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001865
1866 Sisyphus (1972 XA),8.4441312798,18.8816515525,0,2001866,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001866
1915 Quetzalcoatl (1953 EA),0.5604733623,1.2532565376,0,2001915,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001915
1917 Cuyo (1968 AA),3.536347843,7.907514169,0,2001917,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001917
1943 Anteros (1973 EC),1.9344387205,4.3255364773,0,2001943,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001943
1981 Midas (1973 EA),2.4129869692,5.395602892,1,2001981,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001981
2059 Baboquivari (1963 UA),1.6926024946,3.7847742368,0,2002059,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002059
2061 Anza (1960 UA),1.214940408,2.7166893409,0,2002061,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002061
